episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
580,1.0,2.4643379161229864,0.37230221084912873,0.9361288315712882,-30.0,1.0,[-30.0, 1.0],0.0,False,True,0.2368957577456976,0,59.14794013245511,2867.707,prepare,0.0
580,2.0,2.464221921346764,0.3721108246814841,0.8922431000757557,30.0,1.0,[30.0, 1.0],0.4604538404991212,False,True,0.23669463329827906,0,59.14794013245511,2867.769,in_progress,0.0
580,3.0,2.4690066604187324,0.37281182939117063,0.9921872909647866,10.382043235364783,1.0,[10.382043235364783, 1.0],0.5290982265925113,False,True,0.24480155117468966,0,59.14794013245511,2867.845,in_progress,0.0
580,4.0,2.4897782961935193,0.3794194494243347,2.53196345223238,6.9628141195335544,2.0137652347635786,[6.9628141195335544, 2.0137652347635786],0.040928174739833234,False,True,0.28008935780879274,1,59.14794013245511,2867.892,in_progress,0.0
580,5.0,2.521787349736536,0.3879548044161641,4.194100593983113,-30.0,2.6310757260729503,[-30.0, 2.6310757260729503],0.13542393494807456,False,True,0.3344244445297233,1,59.14794013245511,2867.973,in_progress,0.0
580,6.0,2.57017998445612,0.39997646594725395,6.171320504789447,-18.717881536963148,1.0,[-18.717881536963148, 1.0],0.8406112481697336,False,True,0.41654728382554734,1,59.14794013245511,2868.045,in_progress,0.0
580,7.0,2.629334537582012,0.41231412953093843,7.476005457901147,-30.0,1.0,[-30.0, 1.0],0.3148858382043905,False,True,0.5169064198515027,1,59.14794013245511,2868.098,in_progress,0.0
580,8.0,2.6921178212509522,0.42345224843578233,8.090054340378297,-4.606798652950207,1.0,[-4.606798652950207, 1.0],0.16052030698904407,False,True,0.6233424778854895,1,59.14794013245511,2868.159,in_progress,0.0
580,9.0,2.7605481184689697,0.43182963788529677,7.816137336692287,-28.871720623912733,1.0,[-28.871720623912733, 1.0],0.1637070632749983,False,True,0.739249295066945,1,59.14794013245511,2868.209,in_progress,0.0
580,10.0,2.83224660026163,0.4393312758073356,7.374538220759888,-30.0,1.0,[-30.0, 1.0],0.20992694802333853,False,True,0.8606569580500254,2,59.14794013245511,2868.309,in_progress,0.0
580,11.0,2.90583950042105,0.4412739081835231,5.6840960406249605,-30.0,1.0,[-30.0, 1.0],0.5428182815724195,False,True,0.985115489708531,2,59.14794013245511,2868.376,in_progress,0.0
580,12.0,2.974547996071456,0.4375832478004959,3.425219505313186,5.243378153338668,1.0,[5.243378153338668, 1.0],0.03018628089837816,False,True,1.1010638283316183,2,59.14794013245511,2868.438,in_progress,0.0
580,13.0,3.0458873647508478,0.4286874413524108,0.5098907004613857,-30.0,1.0,[-30.0, 1.0],0.5063754050670123,False,True,1.22143476692529,2,59.14794013245511,2868.506,in_progress,0.0
580,14.0,3.1144136897629244,0.4170629520198371,-2.2278410706716207,11.133444714423618,1.0,[11.133444714423618, 1.0],0.17441033952480356,False,True,1.3369806514714737,3,59.14794013245511,2868.572,in_progress,0.0
580,15.0,3.181195611687996,0.4004467107905937,-5.309725928096779,-15.864805979491639,1.5012416970646452,[-15.864805979491639, 1.5012416970646452],0.38790371811215996,False,True,1.4494502351350163,3,59.14794013245511,2868.64,in_progress,0.0
580,16.0,3.254598040376814,0.37862493934605534,-8.694206163947655,30.0,1.0,[30.0, 1.0],0.047237412023615734,False,True,1.5729470517039914,3,59.14794013245511,2868.709,in_progress,0.0
580,17.0,3.3273644173481225,0.35316411451587176,-11.92177112581338,-18.52015918432618,1.0212439212070765,[-18.52015918432618, 1.0212439212070765],0.7694351157416675,False,True,1.695162723564821,3,59.14794013245511,2868.775,in_progress,0.0
580,18.0,3.4015106578410133,0.32770427942699387,-14.018829929946168,30.0,2.2936133250034603,[30.0, 2.2936133250034603],0.1476303386090838,False,True,1.8197109371396853,4,59.14794013245511,2868.828,in_progress,0.0
580,19.0,3.4826368739464386,0.2992201392225831,-15.798226904548319,30.0,1.0,[30.0, 1.0],0.13872117558381164,False,True,1.9559644403842738,4,59.14794013245511,2868.906,in_progress,0.0
580,20.0,3.5685220437461926,0.27488072453022094,-15.77938255243386,-0.1626272738499459,1.0,[-0.1626272738499459, 1.0],0.029702787755074112,False,True,2.0980708885552364,4,59.14794013245511,2868.961,in_progress,0.0
580,21.0,3.6414275454272227,0.25859010003842364,-14.808967528328358,30.0,1.0,[30.0, 1.0],0.00593992707850938,False,True,2.2204432664653138,4,59.14794013245511,2869.041,in_progress,0.0
580,22.0,3.7150012627123727,0.24704751530595212,-13.111188881223553,-4.270616840453805,1.975464271995922,[-4.270616840453805, 1.975464271995922],0.29585388713357236,False,True,2.3441870893712475,5,59.14794013245511,2869.108,in_progress,0.0
580,23.0,3.7993146179488564,0.23466581794989338,-11.644872109901335,-19.841375292406052,1.0,[-19.841375292406052, 1.0],0.6896746678961605,False,True,2.4860370841686015,5,59.14794013245511,2869.18,in_progress,0.0
580,24.0,3.886895780241855,0.22059383496168045,-10.822686752708467,-1.2092789987461785,1.0,[-1.2092789987461785, 1.0],0.48145380847655156,False,True,2.585690350087731,5,59.14794013245511,2869.244,in_progress,0.0
580,25.0,3.9686015209189733,0.20881465288574555,-9.966148818397762,30.0,1.0,[30.0, 1.0],0.2046019550267597,False,True,2.7178478540431312,5,59.14794013245511,2869.308,in_progress,0.0
580,26.0,4.039708793430572,0.20089666215530189,-8.979286027661363,30.0,1.0,[30.0, 1.0],0.057206401531394085,False,True,2.833584711476918,6,59.14794013245511,2869.364,in_progress,0.0
580,27.0,4.115731851768904,0.20256013773644235,-5.939290899360235,30.0,1.0,[30.0, 1.0],0.3154961511390683,False,True,2.960457718031366,6,59.14794013245511,2869.441,in_progress,0.0
580,28.0,4.190059971410437,0.21028641105759407,-2.485255431615864,30.0,1.0,[30.0, 1.0],0.011958537552813226,False,True,3.052258554510899,6,59.14794013245511,2869.499,in_progress,0.0
580,29.0,4.261028487983569,0.22488444094161272,1.4319689678905316,30.0,1.0,[30.0, 1.0],0.624714055989521,False,True,3.1299382414387713,6,59.14794013245511,2869.575,in_progress,0.0
580,30.0,4.331271844200989,0.24661119363464834,5.896447914334014,30.0,1.0,[30.0, 1.0],0.15340009509108962,False,True,3.253978907770131,6,59.14794013245511,2869.639,in_progress,0.0
580,31.0,4.3988495709183635,0.2757233738832707,10.830575473666674,23.091944825033394,1.0,[23.091944825033394, 1.0],0.0023255111065392355,False,True,3.3782773398615635,7,59.14794013245511,2869.706,in_progress,0.0
580,32.0,4.472124306579614,0.3162318231966085,16.536121164070916,30.0,1.0,[30.0, 1.0],0.08996639734599686,False,True,3.51846216555328,7,59.14794013245511,2869.779,in_progress,0.0
580,33.0,4.530391171263001,0.35702805742470756,21.62481152589845,30.0,1.0,[30.0, 1.0],0.21529713352272434,False,True,3.562115736735647,7,59.14794013245511,2869.84,in_progress,0.0
580,34.0,4.581441535503322,0.4024506341319036,26.91640876873691,30.0,2.3467825333001997,[30.0, 2.3467825333001997],0.5551555857549705,False,True,3.6757767774719334,7,59.14794013245511,2869.905,in_progress,0.0
580,35.0,4.639405862193487,0.46603732288824407,33.736592431674495,30.0,1.8591992766926049,[30.0, 1.8591992766926049],0.4271105725314666,False,True,3.8153962192756374,8,59.14794013245511,2869.971,in_progress,0.0
580,36.0,4.688333325448708,0.5437248317174705,42.023639404750355,-13.59993828138072,3.106383108410517,[-13.59993828138072, 3.106383108410517],0.032671379421437774,False,True,3.9543688819520963,8,59.14794013245511,2870.04,in_progress,0.0
580,37.0,4.73213925608611,0.6326569463190292,50.361664592230056,-11.273165637998709,1.0,[-11.273165637998709, 1.0],0.47687412990543193,False,True,4.068590976126893,8,59.14794013245511,2870.109,in_progress,0.0
580,38.0,4.768004991692263,0.7345203284844366,59.91163090376268,-3.9023574129422514,1.1604336099837047,[-3.9023574129422514, 1.1604336099837047],0.07432534010314162,False,True,4.22210345370744,8,59.14794013245511,2870.17,in_progress,0.0
580,39.0,4.78729179441019,0.8216287140012978,67.87393179265662,-30.0,1.508600512993839,[-30.0, 1.508600512993839],0.12452363977173429,False,True,4.344382795530865,9,59.14794013245511,2870.244,in_progress,0.0
580,40.0,4.799209551607864,0.9157768573432871,74.33361541054741,-29.483276821424262,1.0,[-29.483276821424262, 1.0],0.3877836157223913,False,True,4.465270423899181,9,59.14794013245511,2870.306,in_progress,0.0
580,41.0,4.812147029213893,1.0043044622920239,77.04262195208413,-30.0,1.0,[-30.0, 1.0],0.33066288172316033,False,True,4.610873187190643,9,59.14794013245511,2870.374,in_progress,0.0
580,42.0,4.825912797978486,1.0884081153791163,78.30100055528565,-19.841164074341894,1.3998790394659424,[-19.841164074341894, 1.3998790394659424],0.025593860934969816,False,True,4.7354731620162935,9,59.14794013245511,2870.443,in_progress,0.0
580,43.0,4.839099447193056,1.1726023284395575,79.16808333813148,30.0,1.2983505093150538,[30.0, 1.2983505093150538],0.04667164760562729,False,True,4.859569403540215,10,59.14794013245511,2870.507,in_progress,0.0
580,44.0,4.852174436664101,1.259599777028215,79.92078101313022,-30.0,3.5,[-30.0, 3.5],0.2824267716114463,False,True,4.987205949381183,10,59.14794013245511,2870.576,in_progress,0.0
580,45.0,4.863682098109848,1.3556910205936523,81.20063627157674,-25.31090677132979,1.6241613664878467,[-25.31090677132979, 1.6241613664878467],0.46140297094973215,False,True,5.1442542410770535,10,59.14794013245511,2870.646,in_progress,0.0
580,46.0,4.878213546047572,1.4699482031545328,81.90535644102431,-30.0,3.5,[-30.0, 3.5],0.5027143402213922,False,True,5.312920073443275,10,59.14794013245511,2870.708,in_progress,0.0
580,47.0,4.898940736965493,1.5792473428879055,80.84312385676608,29.423120040887866,1.3560632210045547,[29.423120040887866, 1.3560632210045547],0.5275287809136365,False,True,5.4812498097601,11,59.14794013245511,2870.774,in_progress,0.0
580,48.0,4.93014209329214,1.693719597734368,78.03987443155724,-23.727507330082926,2.671275821653137,[-23.727507330082926, 2.671275821653137],0.014799344584411856,False,True,5.696930864820485,11,59.14794013245511,2870.84,in_progress,0.0
580,49.0,4.9616581451717545,1.8204221867455417,77.04425352898404,-30.0,1.0,[-30.0, 1.0],0.09804029466742926,False,False,5.9030017792464555,12,59.14794013245511,2870.908,in_progress,0.0
580,50.0,4.9977710319320785,1.9241241706589136,74.61154962385531,15.982887533892772,3.5,[15.982887533892772, 3.5],0.7199004256182366,False,False,6.081663430894936,12,59.14794013245511,2870.978,in_progress,0.0
580,51.0,5.047461359496365,2.0425956905291986,71.22553195193443,-30.0,2.886177305625411,[-30.0, 2.886177305625411],0.02840294939354182,False,False,6.333993485487646,12,59.14794013245511,2871.031,in_progress,0.0
580,52.0,5.10964975934977,2.1713660307298652,67.57028302402591,-30.0,2.831170801574045,[-30.0, 2.831170801574045],0.20513214088302992,False,False,6.574106286360417,13,59.14794013245511,2871.111,in_progress,0.0
580,53.0,5.189023988652324,2.30353221124347,62.72325717958674,30.0,1.7173087411595485,[30.0, 1.7173087411595485],0.3684833473165709,False,False,6.897582011911016,14,59.14794013245511,2871.177,in_progress,0.0
580,54.0,5.277745891177164,2.423995937106798,57.16007821954968,-29.091661450592973,1.7126936183567576,[-29.091661450592973, 1.7126936183567576],0.45024968103471036,False,False,7.2269901279564674,14,59.14794013245511,2871.243,in_progress,0.0
580,55.0,5.367800690301535,2.533230342896035,53.77126974127755,11.103287532447553,1.0,[11.103287532447553, 1.0],0.03256424901380779,False,False,7.457236884261791,15,59.14794013245511,2871.297,in_progress,0.0
580,56.0,5.4586901131067735,2.623133841018364,49.37457907238316,-30.0,1.0,[-30.0, 1.0],0.3154264493232135,False,False,7.699269846858699,15,59.14794013245511,2871.376,in_progress,0.0
580,57.0,5.5468195388816275,2.697525727064367,45.48409464201183,25.016373882676184,2.2591447224472985,[25.016373882676184, 2.2591447224472985],0.21113591003330873,False,False,7.869265250937577,15,59.14794013245511,2871.438,in_progress,0.0
580,58.0,5.635231582546726,2.7620739090127473,41.720673613464,30.0,3.0522353313520116,[30.0, 3.0522353313520116],0.08350065404716413,False,True,8.023839897771234,16,59.14794013245511,2871.498,in_progress,0.0
580,59.0,5.7424786339030565,2.8448193795798855,39.841752592413805,30.0,1.9574573736106884,[30.0, 1.9574573736106884],0.18000489260607927,False,True,8.233046004176328,16,59.14794013245511,2871.568,in_progress,0.0
580,60.0,5.851652593608932,2.9482164880986343,41.714871254958915,5.975186772732272,1.5643337678912124,[5.975186772732272, 1.5643337678912124],0.04643268450424592,False,True,8.457481044321352,17,59.14794013245511,2871.638,in_progress,0.0
580,61.0,5.927004974862502,3.030558462941084,44.079487027417436,30.0,1.0,[30.0, 1.0],0.5956439782315761,False,True,8.62998191091345,17,59.14794013245511,2871.709,in_progress,0.0
580,62.0,5.9942539661504295,3.118780402904435,47.62743618663249,30.0,2.388186584698563,[30.0, 2.388186584698563],0.009976466363373328,False,True,8.811493961960148,17,59.14794013245511,2871.775,in_progress,0.0
580,63.0,6.061250576640892,3.2200830426699003,51.554383137542914,30.0,3.115000903067647,[30.0, 3.115000903067647],0.5422088619253244,False,True,9.008602465636008,18,59.14794013245511,2871.842,in_progress,0.0
580,64.0,6.120476576136595,3.331540870207777,56.371689661514864,14.198324564804203,2.4174125370620367,[14.198324564804203, 2.4174125370620367],0.3890633761353862,False,True,9.219506796662923,18,59.14794013245511,2871.906,in_progress,0.0
580,65.0,6.174729104640142,3.4628826836781657,62.0447311895169,20.205431142810298,3.266443735972325,[20.205431142810298, 3.266443735972325],0.19326965867615942,False,True,9.458306230764029,19,59.14794013245511,2871.967,in_progress,0.0
580,66.0,6.221539778196918,3.6090092440648256,67.61769189622414,-19.883159541188153,1.0,[-19.883159541188153, 1.0],0.02116067472528438,False,True,9.71816746714453,19,59.14794013245511,2872.024,in_progress,0.0
580,67.0,6.251187922894834,3.7536397890029995,74.30765602755582,-30.0,1.0,[-30.0, 1.0],0.09410194494657712,False,True,9.967276263421851,20,59.14794013245511,2872.099,in_progress,0.0
580,68.0,6.266681787532757,3.8850350732295715,80.73952337920002,-30.0,1.0,[-30.0, 1.0],0.10718714640313749,False,True,10.189501459367865,20,59.14794013245511,2872.172,in_progress,0.0
580,69.0,6.279449649846906,4.001628114454225,83.69704841956923,-8.340211039892882,1.0,[-8.340211039892882, 1.0],0.4966460245261767,False,True,10.385738203908158,20,59.14794013245511,2872.238,in_progress,0.0
580,70.0,6.2892300821157585,4.108903566708354,84.37241149103957,-30.0,1.20530444208054,[-30.0, 1.20530444208054],0.07844963886819017,False,True,10.565458741088154,21,59.14794013245511,2872.31,in_progress,0.0
580,71.0,6.303675967618259,4.199344901299483,83.15697241760088,-30.0,1.0,[-30.0, 1.0],0.6163446109551344,False,True,10.721485379678438,21,59.14794013245511,2872.374,in_progress,0.0
580,72.0,6.325802332784685,4.284732681787288,80.60513523447145,-24.45136609824809,1.0,[-24.45136609824809, 1.0],0.16891210497374798,False,True,10.870605244848,21,59.14794013245511,2872.438,in_progress,0.0
580,73.0,6.351889799994436,4.364022865961534,77.77711309033208,-3.531204527537149,1.4906115229260806,[-3.531204527537149, 1.4906115229260806],0.24344736849765303,False,True,11.011314730073284,22,59.14794013245511,2872.496,in_progress,0.0
580,74.0,6.386655855117032,4.4451596511338956,74.08010276489054,-28.127229348883404,2.6174489220738764,[-28.127229348883404, 2.6174489220738764],0.3004264273762311,False,True,11.158561533681796,22,59.14794013245511,2872.54,in_progress,0.0
580,75.0,6.427693282113179,4.528610278061962,70.45826268537837,21.085686841185932,1.0,[21.085686841185932, 1.0],0.8943342823797592,False,True,11.31308679795615,22,59.14794013245511,2872.638,in_progress,0.0
580,76.0,6.475653660537083,4.60773564971241,65.76021358432193,12.197578596860396,1.6547918818993597,[12.197578596860396, 1.6547918818993597],0.23945667453409958,False,True,11.461818028923918,23,59.14794013245511,2872.701,in_progress,0.0
580,77.0,6.529611553890449,4.689654852214303,62.358240138716205,-15.12265791220332,3.179599652586764,[-15.12265791220332, 3.179599652586764],0.13478721139089322,False,True,11.61745872384435,23,59.14794013245511,2872.775,in_progress,0.0
580,78.0,6.589128587593937,4.774093488052326,59.30366263588163,16.160331730837953,1.0,[16.160331730837953, 1.0],0.4732327322469412,False,True,11.771165950786939,23,59.14794013245511,2872.841,in_progress,0.0
580,79.0,6.649334961256569,4.851065017920062,56.70234753525823,6.999676838852324,1.0,[6.999676838852324, 1.0],0.2101043516487443,False,True,11.914297027036335,23,59.14794013245511,2872.907,in_progress,0.0
580,80.0,6.710169326344833,4.923221224561833,54.28180514731645,-22.227477114323552,1.0,[-22.227477114323552, 1.0],0.267511451207499,False,True,12.049516522987721,24,59.14794013245511,2872.976,in_progress,0.0
580,81.0,6.772112209390091,4.990597763202796,51.89432135198994,27.05046338794289,1.0,[27.05046338794289, 1.0],0.28906846369598554,False,True,12.17699813694093,24,59.14794013245511,2873.006,in_progress,0.0
580,82.0,6.826689381311006,5.046689662937943,50.1215363570048,30.0,3.5,[30.0, 3.5],0.04290898231249851,False,True,12.215035528282115,24,59.14794013245511,2873.108,in_progress,0.0
580,83.0,6.890085902616956,5.113298899340075,48.90603415387758,19.4255627660117,1.0,[19.4255627660117, 1.0],0.056321214131459296,False,True,12.32568362111755,24,59.14794013245511,2873.174,in_progress,0.0
580,84.0,6.944776520748974,5.180707521039874,49.2523164988991,-30.0,1.5865327409599739,[-30.0, 1.5865327409599739],0.030522988412232697,False,True,12.43795049261088,24,59.14794013245511,2873.238,in_progress,0.0
580,85.0,7.000420933414287,5.253406362683865,50.388442026543345,-30.0,2.011316982569755,[-30.0, 2.011316982569755],0.007956416698575311,False,True,12.559130627945029,25,59.14794013245511,2873.309,in_progress,0.0
580,86.0,7.0659698923832766,5.327601360759079,49.64227611654311,-30.0,1.0,[-30.0, 1.0],0.028710117670761055,False,True,12.682535530935343,25,59.14794013245511,2873.374,in_progress,0.0
580,87.0,7.153030292403984,5.4068186152548785,46.47751925310492,-9.101805210639004,1.5435912758401624,[-9.101805210639004, 1.5435912758401624],0.42277506320402125,False,False,12.716532824120124,25,59.14794013245511,2873.426,in_progress,0.0
580,88.0,7.217359239649204,5.455478739538732,43.526742927619495,-29.591911993260474,1.8797967562064914,[-29.591911993260474, 1.8797967562064914],0.0022231012534069893,False,False,12.716532824120124,25,59.14794013245511,2873.499,in_progress,0.0
580,89.0,7.3092552332518785,5.513678396016271,39.06133995293295,3.1307985231634774,2.829274103431556,[3.1307985231634774, 2.829274103431556],0.13583409292248005,False,False,12.760719445591699,25,59.14794013245511,2873.571,in_progress,0.0
580,90.0,7.399529967253612,5.562245606387863,34.99359584640728,-30.0,3.433256006077068,[-30.0, 3.433256006077068],0.05961646221351264,True,False,12.811436905728069,25,59.14794013245511,2873.641,off_track,0.0
581,1.0,5.134214623419339,1.218861090257042,50.552435214671306,-30.0,2.468041686816998,[-30.0, 2.468041686816998],0.0,False,True,0.2368078552494865,10,59.14794013245511,2873.763,prepare,0.0
581,2.0,5.134405781027601,1.2187244401657513,50.480195205189744,-30.0,1.0,[-30.0, 1.0],0.5166410327013949,False,True,0.2368194548436231,10,59.14794013245511,2873.84,in_progress,0.0
581,3.0,5.136763797130526,1.2247827481426743,51.014072843825744,-16.45792691303113,1.0,[-16.45792691303113, 1.0],0.9090922088508984,False,True,0.24738662894279728,10,59.14794013245511,2873.909,in_progress,0.0
581,4.0,5.152452262085504,1.2372146862155329,49.9282669598043,30.0,2.1330320225186696,[30.0, 2.1330320225186696],0.317248947098277,False,True,0.28016961550854924,10,59.14794013245511,2873.978,in_progress,0.0
581,5.0,5.179736122700472,1.2628841961068076,48.861800998719616,30.0,1.0,[30.0, 1.0],0.052533898273934204,False,True,0.3426330669087388,11,59.14794013245511,2874.03,in_progress,0.0
581,6.0,5.217427291380835,1.296592514021297,47.366709432472234,-0.49372590931682225,3.5,[-0.49372590931682225, 3.5],0.10036326492948877,False,True,0.42656360823212014,11,59.14794013245511,2874.107,in_progress,0.0
581,7.0,5.255176450079398,1.333835945922579,46.66984237635929,30.0,3.5,[30.0, 3.5],0.3511657619046795,False,True,0.5153120678701939,11,59.14794013245511,2874.176,in_progress,0.0
581,8.0,5.305274807841778,1.3822101990482338,45.84790238834786,11.897215115251669,1.0,[11.897215115251669, 1.0],0.6302551020374262,False,True,0.6289221276922718,11,59.14794013245511,2874.235,in_progress,0.0
581,9.0,5.35672110709928,1.4362184496450894,45.97448842056533,22.66430036541908,3.04531412020853,[22.66430036541908, 3.04531412020853],0.6193067800512193,False,True,0.7535998485467919,11,59.14794013245511,2874.308,in_progress,0.0
581,10.0,5.405964936576125,1.4959264271482648,47.388688682629734,-9.363985240956069,3.5,[-9.363985240956069, 3.5],0.1536299705897095,False,True,0.8840393073792329,12,59.14794013245511,2874.376,in_progress,0.0
581,11.0,5.460407182762092,1.5649542081608345,48.81657462545792,-30.0,2.693035978844848,[-30.0, 2.693035978844848],0.006790943885752476,False,True,1.0324278535914972,12,59.14794013245511,2874.442,in_progress,0.0
581,12.0,5.527125039035708,1.6430365934130202,48.98563060420883,1.0188628177802173,3.3662083876801514,[1.0188628177802173, 3.3662083876801514],0.03806028598290023,False,True,1.1997267346532163,12,59.14794013245511,2874.51,in_progress,0.0
581,13.0,5.607220333127831,1.7295117530453394,48.166361570466265,-30.0,1.0,[-30.0, 1.0],0.037398865216139936,False,True,1.395781437163933,13,59.14794013245511,2874.576,in_progress,0.0
581,14.0,5.685803522510168,1.8047359416959037,46.48287457559336,22.959991600090895,2.8368016403031966,[22.959991600090895, 2.8368016403031966],0.8535053615329423,False,True,1.5744177562875827,13,59.14794013245511,2874.645,in_progress,0.0
581,15.0,5.76853455721898,1.8828956497392915,45.23170811354445,18.413411942683105,1.0,[18.413411942683105, 1.0],0.7060989872899475,False,True,1.7436371215737032,13,59.14794013245511,2874.711,in_progress,0.0
