episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
80,1.0,2.4644615445560167,0.37201929358483893,0.86359538786222,0.9915027235950689,1.0,[0.9915027235950689, 1.0],0.0,False,True,0.23709729962498718,0,59.14794013245511,222.483,prepare,0.0
80,2.0,2.464221921346107,0.3721108246814739,0.8922431000757557,-13.259529215545356,1.0,[-13.259529215545356, 1.0],0.5755673006239019,False,True,0.23669463329827867,0,59.14794013245511,222.548,in_progress,0.0
80,3.0,2.469516519006202,0.37183386995688833,0.718915535184319,-29.551333501138323,2.747632931148134,[-29.551333501138323, 2.747632931148134],0.525292992256204,False,True,0.2456377054528402,0,59.14794013245511,222.615,in_progress,0.0
80,4.0,2.4868552563487176,0.37230381535876145,0.7898246061692638,-25.461422085551877,3.5,[-25.461422085551877, 3.5],0.4984040885012417,False,True,0.27496070967802866,1,59.14794013245511,222.682,in_progress,0.0
80,5.0,2.5207985446186085,0.36858653782363754,-0.2549715606980477,18.012084983513574,3.5,[18.012084983513574, 3.5],0.8442935123198919,False,True,0.33224298747674175,1,59.14794013245511,222.746,in_progress,0.0
80,6.0,2.5652359230911514,0.3642542628953573,-1.2682168647695278,6.463726317567463,1.7521576586275014,[6.463726317567463, 1.7521576586275014],0.34084004149694525,False,True,0.4072490288757209,1,59.14794013245511,222.813,in_progress,0.0
80,7.0,2.627495483669099,0.35632053453598883,-2.814352473774291,30.0,1.0,[30.0, 1.0],0.006235445278490026,False,True,0.5122709535947244,1,59.14794013245511,222.882,in_progress,0.0
80,8.0,2.696586784222727,0.3530507730584472,-2.7536653403718634,-30.0,2.1496028039041306,[-30.0, 2.1496028039041306],0.007459198472049434,False,True,0.6289776164445222,1,59.14794013245511,222.949,in_progress,0.0
80,9.0,2.771797430599767,0.34960917774656786,-2.779148313519407,30.0,3.5,[30.0, 3.5],0.002932795512354236,False,True,0.7560240798521778,1,59.14794013245511,223.017,in_progress,0.0
80,10.0,2.8654990027405036,0.3400758277194405,-3.9339584746622775,14.310792493487135,2.0344569827085968,[14.310792493487135, 2.0344569827085968],0.22514449720292318,False,True,0.9141625541019135,2,59.14794013245511,223.08,in_progress,0.0
80,11.0,2.969323536612841,0.3327375216258494,-4.081252518970995,30.0,2.696475116289643,[30.0, 2.696475116289643],0.12562666799930336,False,True,1.0895557335075114,2,59.14794013245511,223.151,in_progress,0.0
80,12.0,3.0919035709893503,0.33286695477090156,-2.198831818924333,-2.233200545917928,3.5,[-2.233200545917928, 3.5],0.04189895881096484,False,True,1.2967785325462267,3,59.14794013245511,223.21,in_progress,0.0
80,13.0,3.2215860755496846,0.3423989333979914,0.8157453125455205,11.985033402375556,2.740689342884459,[11.985033402375556, 2.740689342884459],0.6929985759709232,False,True,1.5162479426205997,3,59.14794013245511,223.261,in_progress,0.0
80,14.0,3.361518953847674,0.3654841919963162,5.144154093600492,4.459802674188708,3.0497474762019756,[4.459802674188708, 3.0497474762019756],0.40182367619208226,False,True,1.7532786347888782,3,59.14794013245511,223.335,in_progress,0.0
80,15.0,3.5509367563744867,0.40992633321312466,10.436839401551294,30.0,1.0,[30.0, 1.0],0.108302103028214,False,True,2.0752428165381342,4,59.14794013245511,223.418,in_progress,0.0
80,16.0,3.681377115830874,0.4546415210002023,15.865908309858373,3.0814188493702446,2.7898169620369813,[3.0814188493702446, 2.7898169620369813],0.03378327537518844,False,True,2.297955939943423,5,59.14794013245511,223.476,in_progress,0.0
80,17.0,3.8269859258481524,0.5145249427759877,19.530218836765876,30.0,1.0,[30.0, 1.0],0.4124276152409881,False,True,2.5770901122799335,5,59.14794013245511,223.55,in_progress,0.0
80,18.0,3.9564415960982653,0.5853950536621447,24.419366179693498,7.980349361840474,1.0,[7.980349361840474, 1.0],0.8785848252675832,False,True,2.8141941052547224,6,59.14794013245511,223.581,in_progress,0.0
80,19.0,4.0672356544107044,0.6573760732443187,28.710408299425335,-19.98710344600245,2.6757212943127167,[-19.98710344600245, 2.6757212943127167],0.05670021658043404,False,True,3.085522309804981,6,59.14794013245511,223.671,in_progress,0.0
80,20.0,4.189965606363326,0.7523324231081732,33.43354089703912,11.838971201682767,1.0,[11.838971201682767, 1.0],0.017670937055500546,False,True,3.336715101502442,7,59.14794013245511,223.754,in_progress,0.0
80,21.0,4.280519929900992,0.8321561678183832,36.92627518157379,-19.429142562899855,1.4769773106911799,[-19.429142562899855, 1.4769773106911799],0.609617019540515,False,True,3.6191981211394304,7,59.14794013245511,223.816,in_progress,0.0
80,22.0,4.369144163099244,0.9129308742694956,39.33516745709761,-2.1863825179321026,3.5,[-2.1863825179321026, 3.5],0.0825248588055687,False,True,3.8182044567401117,8,59.14794013245511,223.88,in_progress,0.0
80,23.0,4.461487072151049,0.9962873866109594,40.52400059390194,-30.0,3.5,[-30.0, 3.5],0.0014120030006541386,False,True,4.129304828643542,8,59.14794013245511,223.941,in_progress,0.0
80,24.0,4.566943592946004,1.0871217034670744,40.52029403060143,30.0,3.5,[30.0, 3.5],0.002269904245269743,False,True,4.364587015008601,9,59.14794013245511,224.022,in_progress,0.0
80,25.0,4.683259534309102,1.1811108315094023,39.72152367282178,-30.0,1.063195580441778,[-30.0, 1.063195580441778],0.08454301136950677,False,True,4.70330582159998,9,59.14794013245511,224.079,in_progress,0.0
80,26.0,4.813986294458436,1.286498086526488,39.29133103405661,30.0,1.0,[30.0, 1.0],0.08945547552014156,False,True,4.981313127271704,10,59.14794013245511,224.156,in_progress,0.0
