episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
240,1.0,2.4644713925740462,0.37201251193766427,0.8689153453219377,11.656044840427356,1.0,[11.656044840427356, 1.0],0.0,False,True,0.23711376887184527,0,59.14794013245511,912.342,prepare,0.0
240,2.0,2.4642219213463172,0.37211082468147716,0.8922431000757557,-10.721319781496675,3.1564886146914275,[-10.721319781496675, 3.1564886146914275],0.5755673006239017,False,True,0.23669463329827858,0,59.14794013245511,912.418,in_progress,0.0
240,3.0,2.4744079940018775,0.37330801277574505,1.193699749257742,8.491387596645517,3.5,[8.491387596645517, 3.5],0.44155745015180414,False,True,0.253945411809443,0,59.14794013245511,912.48,in_progress,0.0
240,4.0,2.4952274285387768,0.37182330743895076,0.6027686951304456,-1.7933425202464797,1.0,[-1.7933425202464797, 1.0],0.7134393445373972,False,True,0.2891009732244921,1,59.14794013245511,912.547,in_progress,0.0
240,5.0,2.5303790870310277,0.36776570449088564,-0.04196044366080088,7.280729540704854,1.0,[7.280729540704854, 1.0],0.9429759335220638,False,True,0.34841700600116554,1,59.14794013245511,912.614,in_progress,0.0
240,6.0,2.579159375697159,0.36365175829276575,-1.0520373964718652,-22.53083476152041,2.5404091295993902,[-22.53083476152041, 2.5404091295993902],0.4004224664888758,False,True,0.4307703589200663,1,59.14794013245511,912.672,in_progress,0.0
240,7.0,2.640973020751537,0.3562922418014664,-2.529091947678367,30.0,1.0,[30.0, 1.0],0.028072014452469762,False,True,0.5350533670140026,1,59.14794013245511,912.743,in_progress,0.0
240,8.0,2.706492197264594,0.3501180092707772,-3.232964146886328,16.766620411520243,2.2650514638039927,[16.766620411520243, 2.2650514638039927],0.006278426577245422,False,True,0.6456423226029071,1,59.14794013245511,912.812,in_progress,0.0
240,9.0,2.78907099052894,0.3424784915955332,-3.8831960016566662,30.0,1.0,[30.0, 1.0],0.09894080624264312,False,True,0.7850298614489049,2,59.14794013245511,912.883,in_progress,0.0
240,10.0,2.8640962946309507,0.3406509691421497,-3.370930524904121,-8.45879720322679,1.4497706981809593,[-8.45879720322679, 1.4497706981809593],0.07672566078256682,False,True,0.911807018448507,2,59.14794013245511,912.949,in_progress,0.0
240,11.0,2.963798206060171,0.33986726081416535,-2.3615686376817715,-15.570430592628577,2.3526622788032387,[-15.570430592628577, 2.3526622788032387],0.046737143451377694,False,True,1.080397244494776,2,59.14794013245511,913.015,in_progress,0.0
240,12.0,3.0502805898540037,0.33483543391505854,-2.771948376902242,13.742813116612467,1.0,[13.742813116612467, 1.0],0.0012080471887978561,False,True,1.2264658263209982,2,59.14794013245511,913.078,in_progress,0.0
240,13.0,3.148046645825785,0.32526734337741425,-4.152231180616819,26.319130607047768,1.0,[26.319130607047768, 1.0],0.25713436555267694,False,True,1.3914934768514358,3,59.14794013245511,913.146,in_progress,0.0
