episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
40,1.0,2.464331175299447,0.37198670670847944,0.8834318560744345,0.0,3.8,5,0.0,False,True,0.23687605626443609,0,59.14794013245511,145.891,prepare,0.0
40,2.0,2.4642219213460548,0.37211082468147305,0.8922431000757557,-15.0,1.5,3,8.033333333333333,False,True,0.23669463329827883,0,59.14794013245511,145.958,in_progress,0.0
40,3.0,2.472111321758348,0.37160706661061604,0.7680629961223724,30.0,1.0,9,6.440000000000001,False,True,0.2500181730661745,0,59.14794013245511,146.026,in_progress,0.0
40,4.0,2.4948539944981825,0.3681248388213088,-0.08870010058480678,0.0,3.8,5,8.12,False,True,0.28837232378988087,1,59.14794013245511,146.088,in_progress,0.0
40,5.0,2.5290069989668513,0.36135413243429654,-1.7600062647033332,-15.0,0.5,2,8.1,False,True,0.3459287327376697,1,59.14794013245511,146.153,in_progress,0.0
40,6.0,2.574228587073874,0.3505834426473533,-4.325342201283606,30.0,0.4,8,6.5,False,True,0.42209095281403,1,59.14794013245511,146.221,in_progress,0.0
40,7.0,2.608116879399144,0.3424034494741897,-5.6706299539307095,-30.0,1.0,1,6.4008,False,True,0.4791627711060233,1,59.14794013245511,146.289,in_progress,0.0
40,8.0,2.643501761244815,0.3313869001692884,-7.531654341181246,30.0,1.0,9,6.440000000000001,False,True,0.5386490650272431,1,59.14794013245511,146.358,in_progress,0.0
40,9.0,2.692987973993087,0.31713374825171997,-9.388873204683092,15.0,1.3,7,9.3,False,True,0.6219147330790108,1,59.14794013245511,146.417,in_progress,0.0
40,10.0,2.7457566688228354,0.30498818245036347,-10.24425686858733,15.0,0.5,6,8.5,False,True,0.7107867548620136,1,59.14794013245511,146.484,in_progress,0.0
40,11.0,2.810343364239536,0.2925033204563164,-10.347741636873115,0.0,0.7,4,8.071428571428571,False,True,0.8196273371767497,2,59.14794013245511,146.55,in_progress,0.0
40,12.0,2.8571299118589564,0.2842589790987376,-10.2595852306416,-15.0,1.5,3,8.000666666666667,False,True,0.8984931658707426,2,59.14794013245511,146.622,in_progress,0.0
40,13.0,2.9084874805342844,0.2722308096639542,-10.892898460469656,-30.0,1.0,1,5.6008000000000004,False,True,0.984982941565401,2,59.14794013245511,146.69,in_progress,0.0
40,14.0,2.9792755228331327,0.2502359927887053,-12.762696548531636,0.0,1.9,10,7.026315789473684,False,True,1.1042735114700668,2,59.14794013245511,146.756,in_progress,0.0
40,15.0,3.0450783184307757,0.22521054832518106,-14.982916075708818,0.0,0.7,4,7.071428571428571,False,True,1.214873249837212,2,59.14794013245511,146.824,in_progress,0.0
40,16.0,3.115323534620336,0.19581919749364926,-17.289818175291472,0.0,0.7,4,7.001428571428572,False,True,1.3328713841212703,3,59.14794013245511,146.894,in_progress,0.0
40,17.0,3.1840684693124386,0.16425055428815563,-19.439172951168537,15.0,0.5,6,7.1,False,True,1.4482777413075043,3,59.14794013245511,146.954,in_progress,0.0
40,18.0,3.234467884039967,0.14272097835061598,-20.249073133309754,-30.0,1.0,1,5.6008000000000004,False,True,1.53161739710219,3,59.14794013245511,147.022,in_progress,0.0
40,19.0,3.290252595053502,0.11752409044571074,-21.30237766547746,-30.0,0.4,0,4.402,False,True,1.6251355560489456,3,59.14794013245511,147.087,in_progress,0.0
40,20.0,3.341935998910384,0.08687431694067335,-23.5309207983786,15.0,0.5,6,5.502,False,True,1.7115521159986797,3,59.14794013245511,147.151,in_progress,0.0
40,21.0,3.384498893048183,0.05908207484990258,-25.525989354364025,30.0,1.0,9,4.44,False,True,1.7826398812335185,4,59.14794013245511,147.221,in_progress,0.0
40,22.0,3.4347367225612135,0.030131484265383424,-26.582264458148032,30.0,1.0,9,4.44,False,True,1.8666654467602208,4,59.14794013245511,147.286,in_progress,0.0
40,23.0,3.490771250493773,0.0027451099147702065,-26.467801960276038,0.0,1.9,10,5.5005263157894735,False,True,1.9605381245758982,4,59.14794013245511,147.347,in_progress,0.0
40,24.0,3.565490058185844,-0.028667411990052447,-25.358730581034965,0.0,0.7,4,5.501428571428572,False,True,2.0774614734905117,4,59.14794013245511,147.418,in_progress,0.0
40,25.0,3.6298537993697226,-0.05505334264630724,-24.45347751019088,0.0,0.7,4,5.501428571428572,False,True,2.184884061734143,4,59.14794013245511,147.488,in_progress,0.0
40,26.0,3.6926077452477752,-0.07909792592188888,-23.520961925720258,-30.0,1.0,1,4.4008,False,True,2.289705691969602,4,59.14794013245511,147.551,in_progress,0.0
40,27.0,3.7556549629463776,-0.10476273691662538,-23.158135029234273,30.0,0.4,8,4.402,False,False,2.39494026739809,5,59.14794013245511,147.603,in_progress,0.0
40,28.0,3.8147376679655203,-0.1301086668444013,-23.13676978848366,-15.0,0.5,2,5.502,False,False,2.4934914565589756,5,59.14794013245511,147.684,in_progress,0.0
40,29.0,3.86299237445725,-0.1522990239448434,-23.426935907342543,-15.0,0.5,2,1.802,False,False,2.544111298127742,5,59.14794013245511,147.759,in_progress,0.0
40,30.0,3.908047918581514,-0.17367661670638662,-23.802138850283434,0.0,0.7,4,1.8014285714285714,False,False,2.544111298127742,5,59.14794013245511,147.822,in_progress,0.0
40,31.0,3.9496800881554543,-0.1935368787823784,-24.111417472535805,15.0,1.3,7,1.800769230769231,False,False,2.5618646398154885,5,59.14794013245511,147.876,in_progress,0.0
40,32.0,4.013862033863709,-0.22135405398534594,-23.98564659596643,30.0,0.4,8,1.4420000000000002,False,False,2.6599317956068322,5,59.14794013245511,147.96,in_progress,0.0
